"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI_Rank","DCI_Percentile"
"Z75061","Irving","TX",53328,34.6,10.5,23.8,20.4,76.6,11.1,4.8,25352,17504,8424,19930,20022,9035,9963,15747.1428571429,17897,68.5
"Z75062","Irving","TX",47347,23.1,7.1,21.5,15.9,87.3,38,7.3,22765,11064,5815,16120,15791,2192,7848,11656.4285714286,10830,41.5
"Z75063","Irving","TX",38233,3.09999999999999,3.9,18.8,7.1,147.8,30.6,18.7,1529,3707,3077,5338,2427,3007,2855,3134.28571428571,327,1.3
"Z75065","Lake Dallas","TX",11537,4.3,8.3,20.8,4.5,137.7,1.5,24,2801,13382,5023,2340,3304,14855,2003,6244,2703,10.3
"Z75067","Lewisville","TX",66088,12.3,7.1,18.6,10.5,105.5,1.2,6.90000000000001,14307,10990,2944,9842,9186,15054,8235,10079.7142857143,8294,31.7
"Z75068","Little Elm","TX",46216,9.59999999999999,4.8,19.6,6.8,164.5,64.5,45.1,10744,5657,3800,4991,1429,942,681,4034.85714285714,705,2.7
"Z75069","Mckinney","TX",36245,17.5,7.3,25,15.2,92.1,1.8,12.7,19418,11505,9756,15424,13878,14692,4696,12767,12749,48.8
"Z75070","Mckinney","TX",85063,3.5,3.9,18.9,5.7,180.4,24.4,30.7,1919,3714,3168,3669,892,4144,1358,2694.85714285714,212,0.8
"Z75071","Mckinney","TX",43547,6.2,3.9,21.6,3.6,160.7,65.5,47.5,5414,3761,5873,1495,1624,918,636,2817.28571428571,234,0.9
"Z75074","Plano","TX",47916,18.6,4.3,19.8,16.4,105,10.5,8.59999999999999,20180,4631,3972,16601,9341,9328,6925,10139.7142857143,8393,32.1
"Z75075","Plano","TX",35558,7.40000000000001,3.8,20.4,7.5,141.1,1.90000000000001,7.59999999999999,7273,3584,4557,5874,2967,14613,7692,6651.42857142857,3238,12.4
"Z75076","Pottsboro","TX",7542,12.5,9.2,23.2,13.4,101,8,-15,14546,15214,7724,13412,10590,10771,24043,13757.1428571429,14543,55.7
"Z75077","Lewisville","TX",35890,3.90000000000001,4.3,18.8,4.6,188.5,16.2,16.5,2333,4500,3087,2416,719,6616,3461,3304.57142857143,379,1.5
"Z75078","Prosper","TX",15080,2.59999999999999,4.1,24.9,8.2,223.6,81.9,56.5,1086,4084,9610,6848,254,659,450,3284.42857142857,375,1.4
"Z75080","Richardson","TX",47897,9.3,4.8,19.4,15.1,122.2,14.9,9.8,10299,5650,3638,15288,5404,7169,6177,7660.71428571429,4620,17.7
"Z75081","Richardson","TX",35269,7.8,7.2,22.5,8.9,123.9,7.5,4.3,7926,11152,6884,7767,5074,11055,10424,8611.71428571429,5986,22.9
"Z75082","Richardson","TX",23014,5,2.7,20.3,3.7,216.2,21.7,7.90000000000001,3686,1814,4430,1565,320,4818,7392,3432.14285714286,434,1.7
"Z75087","Rockwall","TX",31253,6.7,4.6,21.1,5,173.2,23.2,16.2,6135,5170,5312,2893,1105,4449,3509,4081.85714285714,727,2.8
"Z75088","Rowlett","TX",25827,9.7,3.8,18.6,5.9,155.6,34,4.59999999999999,10901,3622,2917,3887,1911,2591,10132,5137.28571428571,1535,5.9
"Z75089","Rowlett","TX",31461,9.59999999999999,4.3,19.4,7.5,161.6,1.2,5.09999999999999,10745,4583,3628,5862,1575,15034,9720,7306.71428571429,4069,15.6
