Zip_Code,Housing_Units,Total_Vacant,For_rent,Rented_not_oc,For_sale,Sale_not_oc,Seasonal,Migrant_worker,Other_vacant
Z56470,7419,2775,0,11,12,73,2480,0,199
Z56472,5765,2747,0,63,39,3,2546,0,96
Z56473,1817,387,0,0,21,3,331,0,32
Z56474,2632,920,54,0,18,9,750,0,89
Z56475,732,74,0,7,7,0,34,0,26
Z56477,1347,341,4,0,16,0,245,0,76
Z56479,2577,431,48,0,53,0,214,0,116
Z56481,1000,130,0,0,14,4,83,0,29
Z56482,3035,270,70,0,12,38,108,6,36
Z56484,2586,1032,6,2,23,4,931,1,65
Z56501,9659,2446,99,80,53,15,1937,0,262
Z56510,1117,201,42,0,0,8,25,0,126
Z56514,1586,154,28,14,12,6,19,0,75
Z56515,3022,1633,20,0,22,1,1504,0,86
Z56516,133,23,2,0,0,0,3,1,17
Z56520,1862,113,0,4,62,0,5,5,37
Z56521,367,56,0,0,0,0,20,0,36
Z56525,61,8,0,1,0,0,0,0,7
Z56527,392,68,0,0,8,0,26,0,34
Z56528,1695,981,0,0,6,13,921,0,41
Z56529,1741,98,39,0,0,5,11,0,43
Z56531,1116,243,17,8,33,0,122,0,63
Z56533,141,22,2,0,4,0,9,0,7
Z56534,642,134,0,0,0,0,110,0,24
Z56535,815,293,4,4,0,0,264,0,21
Z56536,233,41,0,0,5,0,9,4,23
Z56537,9054,1099,31,68,103,34,433,0,430
Z56540,965,142,22,0,0,4,56,0,60
Z56542,1407,173,26,10,13,17,70,0,37
Z56543,135,31,0,0,0,0,9,7,15
Z56544,2680,634,28,0,6,0,498,6,96
Z56545,354,60,0,0,0,0,5,5,50
Z56546,150,54,0,0,0,5,0,0,49
Z56547,1060,81,24,7,11,0,2,0,37
Z56548,367,56,12,0,0,0,18,0,26
Z56549,1972,272,47,0,13,18,120,0,74
Z56550,245,62,5,0,4,0,22,0,31
Z56551,1461,525,34,0,13,0,393,0,85
Z56552,178,30,4,0,0,0,1,0,25
Z56553,123,4,0,0,0,0,0,0,4
Z56554,1819,771,6,4,4,22,660,0,75
Z56556,535,110,12,0,0,0,33,0,65
Z56557,1232,182,26,0,24,0,61,0,71
Z56560,16883,1230,347,75,44,95,228,0,441
Z56566,291,103,8,0,2,8,52,0,33
Z56567,1621,238,8,0,11,0,169,0,50
Z56569,849,293,5,1,0,4,235,0,48
Z56570,789,293,9,0,0,0,243,0,41
Z56571,1513,770,0,3,21,0,721,0,25
Z56572,3950,1739,28,0,61,5,1567,0,78
