Zip_Code,Housing_Units,Occupied_Units,Vacant_Units
Z02836,44,44,0
Z02837,2336,1640,696
Z02838,1573,1425,148
Z02839,600,567,33
Z02840,13370,10728,2642
Z02841,0,0,0
Z02842,7360,6414,946
Z02852,9670,8960,710
Z02857,3818,3700,118
Z02858,235,235,0
Z02859,2708,2460,248
Z02860,20654,17973,2681
Z02861,11047,10058,989
Z02863,7614,6413,1201
Z02864,13969,13362,607
Z02865,6737,6335,402
Z02871,7876,6916,960
Z02872,544,120,424
Z02873,123,123,0
Z02874,2517,2329,188
Z02875,173,173,0
Z02876,138,138,0
Z02878,7375,6670,705
Z02879,10820,8248,2572
Z02881,1194,1171,23
Z02882,9331,6316,3015
Z02885,5097,4666,431
Z02886,13261,12427,834
Z02888,8883,8555,328
Z02889,12130,11158,972
Z02891,11906,9163,2743
Z02892,1781,1749,32
Z02893,14211,12964,1247
Z02894,290,290,0
Z02895,19473,17324,2149
Z02896,4961,4481,480
Z02898,628,581,47
Z02903,5352,4607,745
Z02904,14274,12721,1553
Z02905,9625,8610,1015
Z02906,12311,10914,1397
Z02907,10280,8699,1581
Z02908,14635,12310,2325
Z02909,17131,14891,2240
Z02910,8711,7801,910
Z02911,7080,6685,395
Z02912,0,0,0
Z02914,9448,8768,680
Z02915,7663,7343,320
Z02916,3842,3657,185
Z02917,4590,4299,291
Z02919,12936,11765,1171
Z02920,14969,14358,611
Z02921,4412,4217,195
Z03031,4045,3932,113
Z03032,2021,1932,89
Z03033,1687,1676,11
Z03034,1571,1519,52
Z03036,1675,1618,57
Z03037,1714,1562,152
Z03038,13872,13241,631
Z03042,2859,2581,278
Z03043,762,575,187
Z03044,1613,1613,0
Z03045,5399,5106,293
Z03046,1124,1031,93
Z03047,701,606,95
Z03048,1531,1355,176
Z03049,3012,2832,180
Z03051,9194,8864,330
Z03052,2956,2821,135
Z03053,8635,8368,267
Z03054,9936,9576,360
Z03055,6374,6091,283
Z03057,969,901,68
Z03060,12854,11823,1031
Z03062,11032,10636,396
Z03063,6931,6508,423
Z03064,6008,5652,356
Z03070,1961,1882,79
Z03071,2001,1795,206
Z03076,4638,4453,185
Z03077,4177,3970,207
Z03079,11733,11110,623
Z03082,694,618,76
Z03084,607,512,95
Z03086,1679,1508,171
Z03087,5315,5096,219
Z03101,1894,1695,199
Z03102,14333,13200,1133
Z03103,15250,13796,1454
Z03104,14457,13580,877
Z03106,5239,5167,72
Z03109,4311,4003,308
Z03110,7630,7383,247
Z03215,1178,106,1072
Z03216,1060,880,180
Z03217,1472,937,535
Z03218,429,364,65
Z03220,3559,2853,706
Z03221,1212,869,343
Z03222,4266,2247,2019
Z03223,2567,1442,1125
Z03224,1064,898,166
Z03225,2003,1337,666
Z03226,793,435,358
Z03227,703,492,211
Z03229,2334,2068,266
Z03230,736,546,190
Z03231,125,104,21
Z03233,79,47,32
Z03234,1910,1810,100
Z03235,4060,3471,589
Z03237,1336,858,478
Z03238,52,35,17
Z03240,829,535,294
Z03241,825,367,458
Z03242,1996,1668,328
Z03243,530,430,100
