Zip_Code,Place Name,State Abbreviation,State,County,Pop_2011_2015
Z94525,Crockett,CA,California,Contra Costa,3044
Z94526,Danville,CA,California,Contra Costa,32340
Z94528,Diablo,CA,California,Contra Costa,767
Z94530,El Cerrito,CA,California,Contra Costa,24482
Z94531,Antioch,CA,California,Contra Costa,43095
Z94533,Fairfield,CA,California,Solano,71487
Z94534,Fairfield,CA,California,Solano,37253
Z94535,Travis Afb,CA,California,Solano,4254
Z94536,Fremont,CA,California,Alameda,71765
Z94538,Fremont,CA,California,Alameda,64696
Z94539,Fremont,CA,California,Alameda,52096
Z94541,Hayward,CA,California,Alameda,64282
Z94542,Hayward,CA,California,Alameda,13262
Z94544,Hayward,CA,California,Alameda,77213
Z94545,Hayward,CA,California,Alameda,32236
Z94546,Castro Valley,CA,California,Alameda,42754
Z94547,Hercules,CA,California,Contra Costa,24860
Z94548,Knightsen,CA,California,Contra Costa,373
Z94549,Lafayette,CA,California,Contra Costa,28719
Z94550,Livermore,CA,California,Alameda,48663
Z94551,Livermore,CA,California,Alameda,41250
Z94552,Castro Valley,CA,California,Alameda,15226
Z94553,Martinez,CA,California,Contra Costa,49256
Z94555,Fremont,CA,California,Alameda,36693
Z94556,Moraga,CA,California,Contra Costa,15861
Z94558,Napa,CA,California,Napa,68227
Z94559,Napa,CA,California,Napa,27900
Z94560,Newark,CA,California,Alameda,44207
Z94561,Oakley,CA,California,Contra Costa,39435
Z94563,Orinda,CA,California,Contra Costa,18580
Z94564,Pinole,CA,California,Contra Costa,18887
Z94565,Pittsburg,CA,California,Contra Costa,89712
Z94566,Pleasanton,CA,California,Alameda,43413
Z94567,Pope Valley,CA,California,Napa,552
Z94568,Dublin,CA,California,Alameda,49864
Z94569,Port Costa,CA,California,Contra Costa,327
Z94571,Rio Vista,CA,California,Solano,8418
Z94572,Rodeo,CA,California,Contra Costa,9724
Z94573,Rutherford,CA,California,Napa,192
Z94574,Saint Helena,CA,California,Napa,9062
Z94575,Moraga,CA,California,Contra Costa,1146
Z94576,Deer Park,CA,California,Napa,91
Z94577,San Leandro,CA,California,Alameda,46494
Z94578,San Leandro,CA,California,Alameda,39642
Z94579,San Leandro,CA,California,Alameda,22056
Z94580,San Lorenzo,CA,California,Alameda,29445
Z94582,San Ramon,CA,California,Contra Costa,40215
Z94583,San Ramon,CA,California,Contra Costa,35631
Z94585,Suisun City,CA,California,Solano,29260
Z94586,Sunol,CA,California,Alameda,976
Z94587,Union City,CA,California,Alameda,72690
Z94588,Pleasanton,CA,California,Alameda,32979
Z94589,Vallejo,CA,California,Solano,31289
Z94590,Vallejo,CA,California,Solano,35543
Z94591,Vallejo,CA,California,Solano,54126
Z94592,Vallejo,CA,California,Solano,776
Z94595,Walnut Creek,CA,California,Contra Costa,16732
Z94596,Walnut Creek,CA,California,Contra Costa,20524
Z94597,Walnut Creek,CA,California,Contra Costa,21271
Z94598,Walnut Creek,CA,California,Contra Costa,27328
Z94599,Yountville,CA,California,Napa,3185
Z94601,Oakland,CA,California,Alameda,50024
Z94602,Oakland,CA,California,Alameda,29829
Z94603,Oakland,CA,California,Alameda,33116
Z94605,Oakland,CA,California,Alameda,42079
Z94606,Oakland,CA,California,Alameda,38055
Z94607,Oakland,CA,California,Alameda,26172
Z94608,Emeryville,CA,California,Alameda,28125
Z94609,Oakland,CA,California,Alameda,21981
Z94610,Oakland,CA,California,Alameda,30537
Z94611,Oakland,CA,California,Alameda,38023
Z94612,Oakland,CA,California,Alameda,14782
Z94613,Oakland,CA,California,Alameda,871
Z94618,Oakland,CA,California,Alameda,16884
Z94619,Oakland,CA,California,Alameda,24005
Z94621,Oakland,CA,California,Alameda,33369
Z94702,Berkeley,CA,California,Alameda,17016
Z94703,Berkeley,CA,California,Alameda,21561
Z94704,Berkeley,CA,California,Alameda,26573
Z94705,Berkeley,CA,California,Alameda,13224
Z94706,Albany,CA,California,Alameda,20652
Z94707,Berkeley,CA,California,Alameda,12555
Z94708,Berkeley,CA,California,Alameda,11071
Z94709,Berkeley,CA,California,Alameda,11866
Z94710,Berkeley,CA,California,Alameda,6802
Z94720,Berkeley,CA,California,Alameda,3087
Z94801,Richmond,CA,California,Contra Costa,30462
Z94803,El Sobrante,CA,California,Contra Costa,25252
Z94804,Richmond,CA,California,Contra Costa,40907
Z94805,Richmond,CA,California,Contra Costa,14701
Z94806,San Pablo,CA,California,Contra Costa,60627
Z94850,Richmond,CA,California,Contra Costa,0
Z94901,San Rafael,CA,California,Marin,42488
Z94903,San Rafael,CA,California,Marin,30555
Z94904,Greenbrae,CA,California,Marin,12458
Z94920,Belvedere Tiburon,CA,California,Marin,12711
Z94922,Bodega,CA,California,Sonoma,458
Z94923,Bodega Bay,CA,California,Sonoma,781
Z94924,Bolinas,CA,California,Marin,1387
Z94925,Corte Madera,CA,California,Marin,9595
Z94928,Rohnert Park,CA,California,Sonoma,43028
Z94929,Dillon Beach,CA,California,Marin,139
Z94930,Fairfax,CA,California,Marin,8796
Z94931,Cotati,CA,California,Sonoma,8442
Z94933,Forest Knolls,CA,California,Marin,812
Z94937,Inverness,CA,California,Marin,782
Z94938,Lagunitas,CA,California,Marin,636
Z94939,Larkspur,CA,California,Marin,6936
Z94940,Marshall,CA,California,Marin,235
Z94941,Mill Valley,CA,California,Marin,31168
Z94945,Novato,CA,California,Marin,18602
Z94946,Nicasio,CA,California,Marin,747
Z94947,Novato,CA,California,Marin,26252
Z94949,Novato,CA,California,Marin,16366
Z94950,Olema,CA,California,Marin,72
Z94951,Penngrove,CA,California,Sonoma,4152
Z94952,Petaluma,CA,California,Sonoma,35011
Z94954,Petaluma,CA,California,Sonoma,37273
Z94956,Point Reyes Station,CA,California,Marin,1351
Z94957,Ross,CA,California,Marin,1316
Z94960,San Anselmo,CA,California,Marin,15777
Z94963,San Geronimo,CA,California,Marin,701
