"Zip_Code","City","State","Population","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","No_Diploma_Rank","Vacancy_Rank","No_Job_Rank","Poverty_Rank","Med_Inc_Rank","Chg_Job_Rank","Chg_Biz_Rank","Avg_Rank","DCI"
"Z55312","Brownton","MN",1577,8.59999999999999,6.8,13.9,5.4,93.8,8.3,-19,8911,9403,769,3195,12498,11088,23374,9891.14285714286,8167
"Z55313","Buffalo","MN",23413,5.40000000000001,4.4,19.2,8.8,114,7.2,11.8,4133,4123,3423,7322,6576,11777,4690,6006.28571428571,2455
"Z55314","Buffalo Lake","MN",1247,13.4,11.9,17.3,8.6,83.8,105,13,15066,18114,2074,7069,16282,495,4141,9034.42857142857,6767
"Z55316","Champlin","MN",23731,3.7,3.3,13.2,3.4,136.4,12.2,9.5,2058,2117,604,1256,3244,8886,5831,3428,427
"Z55317","Chanhassen","MN",20637,4.2,2.7,17.4,3.7,175.9,14.3,6.09999999999999,2604,1300,2099,1514,964,7817,8234,3504.57142857143,455
"Z55318","Chaska","MN",26107,6.09999999999999,3.2,14.8,5.4,126.1,12.3,2.59999999999999,5125,1998,1002,3198,4482,8829,11378,5144.57142857143,1569
"Z55319","Clear Lake","MN",5388,5.90000000000001,4.2,18.9,5.1,124.5,-14.7,5.7,4829,3767,3179,2905,4689,21611,8612,7084.57142857143,3830
"Z55320","Clearwater","MN",5156,5.5,3.2,15.9,6.5,122.8,-11.4,-0.900000000000006,4260,1986,1385,4455,4973,20918,15901,7696.85714285714,4761
"Z55321","Cokato","MN",5464,5.90000000000001,5.8,18.5,10.1,98.6,12.5,3.3,4830,7152,2875,8932,10761,8729,10715,7713.42857142857,4791
"Z55322","Cologne","MN",3175,5.3,4.3,11.5,4.9,125.5,9,10.3,4005,3939,334,2670,4564,10651,5403,4509.42857142857,1036
"Z55324","Darwin","MN",1269,6.90000000000001,5.6,16.4,7.7,97,35.5,8.7,6312,6767,1595,5926,11348,2695,6314,5851,2271
"Z55325","Dassel","MN",4423,6,3,21.4,7.2,96.5,2.59999999999999,-4,4992,1711,5550,5330,11527,14743,18377,8890,6535
"Z55328","Delano","MN",9036,5.90000000000001,2.4,15.1,3.2,125.1,19.3,11.8,4831,1019,1115,1102,4621,5884,4668,3320,387
"Z55329","Eden Valley","MN",2000,9.59999999999999,6.4,21.4,7,74.7,3.5,3.8,10393,8573,5599,5092,19488,14176,10270,10513,9186
"Z55330","Elk River","MN",37364,6.59999999999999,4,17.2,6.6,130.1,18.7,3.5,5831,3377,1983,4594,3954,6060,10506,5186.42857142857,1605
"Z55331","Excelsior","MN",17622,1.40000000000001,4.9,20.4,3.3,173.2,8.8,5,384,5118,4511,1213,1039,10753,9139,4593.85714285714,1111
"Z55332","Fairfax","MN",1553,16.8,14.2,18.2,11.7,74.3,9.40000000000001,-7.09999999999999,18077,20489,2686,10862,19609,10445,20265,14633.2857142857,16361
"Z55333","Franklin","MN",938,9.59999999999999,9.8,22.6,24.8,74.9,-43.8,0,10394,15146,6869,21292,19448,24112,15216,16068.1428571429,18757
"Z55334","Gaylord","MN",2766,10.7,5.8,20.5,9.6,80,33.9,-6.2,11895,7239,4625,8325,17701,2893,19770,10349.7142857143,8898
"Z55336","Glencoe","MN",8003,13.5,8,16.4,12.6,90.7,6.40000000000001,-1,15184,11980,1602,11948,13639,12276,15942,11795.8571428571,11323
"Z55337","Burnsville","MN",44561,6.09999999999999,4.5,17.7,10.5,104.8,6.5,2.2,5126,4339,2308,9435,8887,12205,11771,7724.42857142857,4801
"Z55338","Green Isle","MN",1054,8.2,3.4,12.5,6.1,95.5,23.5,-9.09999999999999,8309,2330,471,3993,11866,4730,21130,7547,4534
"Z55339","Hamburg","MN",992,5.40000000000001,6.2,9.40000000000001,4.7,102,-43.2,-5.3,4134,8035,158,2418,9690,24094,19278,9686.71428571429,7808
"Z55340","Hamel","MN",7179,4.09999999999999,1.1,22.6,5.7,181,28,3.09999999999999,2494,151,6775,3614,830,3762,10872,4071.14285714286,717
"Z55341","Hanover","MN",2965,0,2.9,11.7,1.2,154.6,34.2,5.7,76,1506,362,252,1843,2845,8541,2203.57142857143,115
"Z55342","Hector","MN",1990,9.59999999999999,17.3,19.9,8.2,95.2,-9.59999999999999,-13.6,10395,22393,4087,6575,11987,20429,22485,14050.1428571429,15400
"Z55343","Hopkins","MN",25375,7.2,4.6,19,12.1,92.5,21.1,1.59999999999999,6759,4567,3267,11369,12969,5363,12345,8091.28571428571,5323
"Z55344","Eden Prairie","MN",16009,6.09999999999999,3.3,18.5,8.9,108.4,-7.8,2.90000000000001,5127,2151,2853,7446,7879,19885,11144,8069.28571428571,5297
"Z55345","Minnetonka","MN",22094,2.09999999999999,2,18.8,5.4,145.1,10.4,2.59999999999999,718,638,3074,3219,2475,9843,11383,4478.57142857143,1014
"Z55346","Eden Prairie","MN",16632,1.59999999999999,1,15.4,4.5,171,21.5,3.09999999999999,456,116,1200,2235,1103,5240,10879,3032.71428571429,289
"Z55347","Eden Prairie","MN",30038,2,2.7,18.3,3.2,196.3,3.5,5.7,662,1283,2707,1113,547,14135,8584,4147.28571428571,770
"Z55349","Howard Lake","MN",4046,8.8,8.6,20.5,8.6,99.6,2,-1.2,9208,13020,4649,7088,10462,15139,16116,10811.7142857143,9686
"Z55350","Hutchinson","MN",17857,5.40000000000001,4,17.2,6.6,90.2,-7.8,-3.5,4135,3356,1982,4593,13795,19899,18009,9395.57142857143,7389
"Z55352","Jordan","MN",9196,4.40000000000001,2.2,16.5,4,123.1,11.6,1.2,2854,806,1627,1761,4920,9220,12748,4848,1304
"Z55353","Kimball","MN",3260,7,3.1,22.1,8.7,90.5,2.8,6.09999999999999,6444,1873,6271,7219,13687,14620,8262,8339.42857142857,5695
"Z55354","Lester Prairie","MN",2641,10.6,4.1,18,7.9,96.3,20.2,10.7,11766,3638,2518,6178,11616,5599,5185,6642.85714285714,3259
"Z55355","Litchfield","MN",9713,9.2,6,18.8,12.2,88.5,1.3,-10,9810,7650,3120,11484,14464,15579,21493,11942.8571428571,11589
"Z55356","Long Lake","MN",5400,2.5,2.5,20.1,3.4,182.4,12.1,-0.799999999999997,1001,1061,4199,1287,788,8931,15750,4716.71428571429,1210
"Z55357","Loretto","MN",3338,3.2,1.5,17.6,2.5,138,-2.40000000000001,-2.09999999999999,1600,302,2232,679,3069,17577,16820,6039.85714285714,2491
"Z55358","Maple Lake","MN",5102,8.7,3.1,19.4,7.1,104.8,45.7,4.90000000000001,9068,1879,3596,5192,8878,1889,9203,5672.14285714286,2073
"Z55359","Maple Plain","MN",6438,3.7,3.2,20.1,5.9,138.4,28.4,3,2059,1960,4206,3797,3031,3705,10970,4246.85714285714,834
"Z55360","Mayer","MN",2754,3.3,2.9,13.7,2.4,138.7,3.8,5.59999999999999,1703,1531,719,616,3005,13964,8687,4317.85714285714,881
"Z55362","Monticello","MN",19473,5.7,2.7,16.1,6.6,121.4,11.8,5.59999999999999,4555,1317,1461,4588,5214,9101,8656,4984.57142857143,1428
"Z55363","Montrose","MN",4567,8.7,6.8,18.7,9.3,101.5,227.9,38,9069,9405,3035,7917,9844,129,678,5725.28571428571,2119
"Z55364","Mound","MN",14740,3.09999999999999,4.1,17.7,7.3,144,12,4,1498,3514,2306,5420,2568,8986,10024,4902.28571428571,1347
"Z55366","New Auburn","MN",492,10.9,8.3,28.7,12.4,72.3,40,20,12155,12502,13342,11789,20218,2291,2235,10647.4285714286,9418
"Z55367","New Germany","MN",950,8.59999999999999,2.2,10.4,6,101.6,48.5,3.8,8912,838,227,3878,9817,1715,10182,5081.28571428571,1511
"Z55368","Norwood Young America","MN",2303,9.8,5.7,13.8,5.1,100,15.5,-1.09999999999999,10704,7006,738,2880,10311,7318,15997,7850.57142857143,5008
"Z55369","Osseo","MN",33956,3.7,2.8,15.9,5.4,127.4,14.9,5.5,2060,1406,1382,3200,4306,7588,8727,4095.57142857143,736
"Z55370","Plato","MN",843,5.90000000000001,4.2,13.3,2.6,119.3,20.9,0,4832,3768,632,725,5533,5401,13993,4983.42857142857,1427
"Z55371","Princeton","MN",16612,8.59999999999999,3,21.6,8.2,92.9,8.59999999999999,5.2,8913,1735,5759,6586,12834,10893,8992,7958.85714285714,5141
"Z55372","Prior Lake","MN",31358,4,2.8,16.3,6.1,163.6,7.2,3.90000000000001,2394,1411,1543,4001,1379,11761,10137,4660.85714285714,1160
"Z55373","Rockford","MN",5644,5.5,4.7,19.1,9.9,133.1,-10.5,0,4261,4765,3364,8684,3601,20697,14899,8610.14285714286,6085
"Z55374","Rogers","MN",14091,3,2.5,13.4,1.8,164.4,10.9,5.2,1402,1068,650,380,1340,9577,8984,3343,398
"Z55375","Saint Bonifacius","MN",4998,4.90000000000001,2.5,16.2,3.5,159,5.40000000000001,5.5,3467,1092,1503,1341,1603,12926,8747,4382.71428571429,923
"Z55376","Saint Michael","MN",17040,3.40000000000001,1.4,15.2,2.4,149.7,16.8,11.7,1787,258,1142,617,2147,6777,4722,2492.85714285714,168
"Z55378","Savage","MN",28734,4.3,1.8,12.7,5.2,155.4,16.5,4,2717,517,502,2968,1801,6921,10013,3634.14285714286,513
"Z55379","Shakopee","MN",42827,7.8,3.2,16.5,7.1,127.4,14.3,5.5,7700,2025,1632,5170,4308,7830,8728,5341.85714285714,1749
"Z55382","South Haven","MN",3673,7.7,3.6,23,5.5,110.1,-33.3,0,7553,2656,7239,3394,7448,23638,15168,9585.14285714286,7655
"Z55384","Spring Park","MN",1731,6.90000000000001,6.7,25,9,76.8,5.5,7.7,6313,9148,9484,7602,18863,12915,7050,10196.4285714286,8641
"Z55385","Stewart","MN",1322,8,8.2,23,8.4,92.2,19.4,18.8,7999,12269,7302,6853,13073,5868,2503,7981,5171
"Z55386","Victoria","MN",7175,1.7,2.7,16.5,2.3,209.3,26,11.7,514,1280,1630,567,378,4141,4711,1888.71428571429,68
"Z55387","Waconia","MN",13291,4.8,3.7,14.1,2.7,131.6,-6.40000000000001,6,3348,2784,799,779,3764,19360,8343,5596.71428571429,1997
"Z55388","Watertown","MN",5727,7.5,5.8,18.7,12.5,103.3,21.6,13,7220,7186,3024,11838,9339,5226,4151,6854.85714285714,3524
"Z55389","Watkins","MN",2472,11.1,3.6,19.3,9.3,90.5,46,3.40000000000001,12392,2691,3517,7921,13690,1871,10579,7523,4497
"Z55390","Waverly","MN",2651,9.09999999999999,6.2,15.1,5.9,116.7,-39.3,-10.5,9640,8095,1127,3760,6022,23951,21690,10612.1428571429,9359
"Z55391","Wayzata","MN",15417,1.90000000000001,5.2,22.2,4.2,162.6,7.40000000000001,5.7,604,5761,6388,1984,1419,11623,8568,5192.42857142857,1608
"Z55395","Winsted","MN",2857,7.90000000000001,4.2,18.1,7.2,92.2,27.4,5.2,7844,3809,2574,5303,13071,3882,8958,6491.57142857143,3085
"Z55396","Winthrop","MN",2137,12.4,11.4,13.8,13.5,86.4,2.09999999999999,-6,13920,17470,750,12938,15281,15080,19659,13585.4285714286,14606
"Z55398","Zimmerman","MN",15865,6.59999999999999,4.1,17,5.5,123.5,30.4,9.40000000000001,5832,3572,1884,3339,4858,3334,5873,4098.85714285714,737
"Z55401","Minneapolis","MN",7573,4.59999999999999,8.3,12.2,14.6,134.6,40.6,3.90000000000001,3100,12420,435,14134,3438,2233,10095,6550.71428571429,3154
"Z55403","Minneapolis","MN",15610,5.3,8.4,21.7,25.4,60.4,8.09999999999999,5.40000000000001,4006,12623,5935,21527,22845,11237,8814,12426.7142857143,12489
"Z55404","Minneapolis","MN",27714,23.6,9.9,34.2,40.3,40.1,13.8,3.90000000000001,21863,15388,17857,24137,24428,8106,10117,17413.7142857143,20668
"Z55405","Minneapolis","MN",16349,6.3,5.3,18.4,19.4,84,15.3,7.5,5420,6028,2800,18310,16230,7404,7170,9051.71428571429,6796
"Z55406","Minneapolis","MN",33846,8,4.6,17.8,12.6,98.8,21,9.40000000000001,8000,4588,2379,11953,10702,5384,5878,6983.42857142857,3692
"Z55407","Minneapolis","MN",39210,17.5,4.6,22.2,21.4,80.4,13.4,16.3,18583,4679,6379,19624,17575,8288,3129,11179.5714285714,10286
"Z55408","Minneapolis","MN",31202,13.6,6.1,15.7,21.2,75,11.9,14.4,15296,7909,1315,19480,19420,9077,3620,10873.8571428571,9780
"Z55409","Minneapolis","MN",11753,9,2.9,13.6,11.1,112.2,12,7.40000000000001,9515,1618,698,10163,6964,8996,7241,6456.42857142857,3039
"Z55410","Minneapolis","MN",19864,2.59999999999999,5.3,14.9,4.5,167.1,33,4.09999999999999,1069,5970,1050,2234,1236,3026,9903,3498.28571428571,451
"Z55411","Minneapolis","MN",30208,23.5,9,39.7,36.5,51.6,13.2,2.40000000000001,21830,13898,21023,23826,23778,8405,11572,17761.7142857143,21111
"Z55412","Minneapolis","MN",21732,14.6,11.7,31.6,26.5,70.9,0.0999999999999943,3.5,16253,17873,15929,21937,20617,16190,10560,17051.2857142857,20210
"Z55413","Minneapolis","MN",13149,10.5,6.8,19.8,19.8,78.7,15.1,16.2,11640,9442,3973,18563,18193,7525,3151,10355.2857142857,8909
