"Zip_Code","City","State","Pop","Minority_Pct","No_Diploma","Vacancy","No_Job","Poverty","Med_Inc","Chg_Job","Chg_Biz","UTSA_DCI","EIG_Distress_Score","Distress_Diff","EIG_Rank","UTSA_Rank","Rank_Diff"
"Z92617","Irvine","CA",-5,63.1,0,0,0,0,0,0,0,40.4,32.4,8,8463,10559,2096
"Z93212","Corcoran","CA",0,80.7,0,0,0,0,0,0,0,89,89.3,-0.299999999999997,23337,23246,-91
"Z93254","New Cuyama","CA",3,70,0,0,0,0,0,0,0,95.9,92.8,3.10000000000001,24235,25042,807
"Z93465","Templeton","CA",-3,20.6,0,0,0,0,0,0,0,23.4,23.2,0.199999999999999,6054,6115,61
"Z94022","Los Altos","CA",-2,34,0,0,0,0,0,0,0,3.1,3.1,0,797,817,20
"Z94513","Brentwood","CA",-1,44.2,0,0,0,0,0,0,0,6.3,6,0.3,1560,1634,74
"Z95563","Salyer","CA",0,18.2,0,0,-0.100000000000001,0,0,0,0,46.8,48.3,-1.5,12623,12234,-389
"Z97015","Clackamas","OR",-3,30.9,0,0,0,0,0,0,0,17.8,17.8,0,4647,4645,-2
"Z97371","Rickreall","OR",0,0,0,0,0,0,0,0,0,43.4,43.5,-0.100000000000001,11353,11351,-2
"Z97754","Prineville","OR",-3,11.9,0,0,0,0,0,0,0,73.3,73.6,-0.299999999999997,19237,19152,-85
"Z98252","Granite Falls","WA",-1,14.2,0,0,0,0,0,0,0,22.7,21.9,0.800000000000001,5711,5923,212
"Z99224","Spokane","WA",-1,16.4,0,0,0,0,0,0,0,25.9,25.4,0.5,6631,6772,141
"Z99506","Jber","AK",1,36.6,0,0,0,0,0,0,0,50.5,50.5,0,13196,13206,10
