City,State,No_of_Zip_Codes,Sum_Population,Mean_No_Diploma,Mean_Vacancy,Mean_No_Job,Mean_Poverty,Mean_Med_Inc,Mean_Chg_Job,Mean_Chg_Biz,Mean_DCI_Percentile,Mean_White,Mean_Hispanic,Mean_Black,Mean_Asian,Mean_Mixed_Other,Sum_Area_Land,Sum_Area_Water
Elkhart Lake,WI,1,3536,5.9,2.6,16.4,5.4,107.6,8.7,-6.7,15.8,98.4,0.8,0,0.1,0.7,61.478,1.616
Elkhart,IA,1,982,5,3.8,19.9,11.1,111.6,-2.8,53.8,13.1,99,1,0,0,0,25.964,0.068
Elkhart,IL,1,692,7.4,22.7,24.1,3.8,120,-20,-20,55.6,91.4,0.3,0.2,0,8.1,56.186,0.023
Elkhart,KS,1,2434,14,15.6,25.8,10.5,86.6,-17,3.6,67.8,0,13.5,0,2,84.5,216.407,0.088
Elkhart,TX,1,4766,17.4,7.4,27.7,13.5,90,-14.5,-3.4,71,82.5,6.7,7.6,0.1,3.1,147.438,1.517
Elkhorn City,KY,1,4967,32.4,17.8,58,19.8,68.7,-18.6,-11.9,98.9,98.6,0.2,0.1,0.1,1,65.079,0.002
Elkhorn,NE,1,19763,3,1.9,13.5,2.8,184.4,67.4,30.2,0,65.6,1.5,0,0.1,32.8,37.869,0.327
Elkhorn,WI,1,19343,8.5,2.4,21,5.9,116.1,5.8,0,17.3,93.8,4,0.1,0.4,1.7,115.229,2.197
Elkin,NC,1,10942,21.1,15,27.4,17.1,81.8,-4.6,1.8,80.2,87.9,6.8,4.5,0,0.8,70.111,0.501
Elkins Park,PA,1,20049,4.1,5.4,22.1,6.5,123.6,36.1,3.5,7.3,58.6,1.5,30.4,7.8,1.7,3.953,0.002
Elkins,AR,1,6050,17.5,3.7,27.2,11.1,114.4,78.7,12.5,20.5,0,1.8,0.7,12,85.5,155.381,0.708
Elkins,WV,1,14645,11.9,9.2,28.3,16.6,97.6,-0.2,-3,64.6,98,0.2,0.6,0.5,0.7,129.414,0.127
Elkland,MO,1,2411,16.6,11.3,37.8,14.8,89.6,29.4,29.4,51.5,85.8,5,4.3,1.7,3.2,80.77,0.278
Elkland,PA,1,2089,11.3,3.5,35.9,19.1,71.6,-7.9,-7.9,75.8,97.8,0.9,0,0.5,0.8,9.523,0.01
Elkmont,AL,1,8397,23.2,4.9,35.1,14.2,102.5,32.8,1.6,47,92.6,0.8,4.6,0.3,1.7,108.858,1.631
Elko,GA,1,1405,10.3,11.9,25.7,3.1,146.8,-26.5,-20,52.9,63.5,1.9,31.2,1.3,2.1,63.216,0.353
Elko,NV,1,24471,17,4.6,25,10.8,140.9,16.2,4.9,25.4,72.4,19.2,0.4,1.1,6.9,1742.846,4.433
Elkridge,MD,1,29874,9,3.4,17.4,7.7,130.1,16.3,16.1,5.4,77.5,3.3,10.6,6,2.6,14.511,0.059
Elkton,FL,1,4573,10.2,7.6,30.2,18,98,1.2,10.2,49,85.2,3.6,9.6,1.2,0.4,77.009,0.974
Elkton,KY,1,7186,21.2,13.1,37.3,14.5,88.7,3.4,7,73.1,91.7,2.1,5.2,0,1,177.042,1.027
Elkton,MD,1,42066,12.3,7.2,28.2,11,83.2,-4.8,-0.7,61.1,90.3,2.1,5,0.9,1.7,94.58,5.439
Elkton,MI,1,1768,11.6,11.8,23.7,20,77.4,11.4,11.4,53.7,98.2,0,0,0.1,1.7,48.61,0.09
Elkton,OR,1,839,4.1,5.2,35.7,12.9,81.1,-8.3,18.2,42.7,88.3,1.8,0,3.9,6,98.124,1.414
Elkton,SD,1,1334,7,5.8,9.9,9.9,120.9,-6.9,-10.9,32.7,84.4,10,0.1,0.2,5.3,157.648,0.037
Elkton,VA,1,9833,26.2,9.9,29,14.1,72.2,-5,-1.2,82.1,94.8,0.8,3.1,0.1,1.2,136.55,0.903
Elkview,WV,1,11927,14.1,7.4,36.4,11.1,113.9,6.8,2,49.3,98.2,0.8,0.1,0.2,0.7,103.386,0.588
Elkville,IL,1,1901,13.5,11,42.4,15,69.4,-19.2,-28.6,92.5,0.2,0.5,0.5,1.4,97.4,38.48,1.698
Elkwood,VA,1,814,23.7,0,33.9,26,105.7,134.9,13,37.9,96.8,3.2,0,0,0,24.547,0.183
Ellabell,GA,1,7734,20,10.7,41.4,16.1,86.1,6.6,6.6,72.3,69,0.6,28.6,0.3,1.5,85.774,1.049
Ellaville,GA,1,4991,21.5,8.4,34.4,23.3,82.5,-7,3.1,81.6,65,2.7,31.5,0,0.8,164.434,0.94
Ellenboro,NC,1,8023,15.2,10.2,34.3,18.4,80.8,14.7,-5.4,75,93.6,0.6,4.7,0,1.1,71.085,0.009
Ellenboro,WV,1,1006,14.1,16.3,32.9,8.6,121.6,3.6,3.6,54.2,98.3,1.6,0,0,0.1,27.859,0.081
Ellenburg Center,NY,1,1077,28.3,8.5,38,28.8,64.8,7.1,-28.6,92.9,97.7,0.2,0,1.7,0.4,58.852,0.021
Ellenburg Depot,NY,1,1571,25.3,4.3,44.7,12.8,81.9,61,35.7,43.7,53.8,15,28.6,0.8,1.8,98.611,3.514
Ellendale,DE,1,2886,23.5,9.6,30.6,23.9,75.7,-25.3,-7.7,92.2,57.6,1.4,39.8,0,1.2,33.61,0.064
Ellendale,MN,1,1930,8,9.1,13,6.9,102.6,6.6,12.9,18.8,98.6,0,0.6,0.1,0.7,105.321,1.787
